PC1,PC2,PC3,PC4,PC5
-0.037465423,0.8103291,0.9738165,-0.47146463,-0.18565023
-0.046474952,0.7998928,0.9655733,-0.48651582,-0.11128569
-0.005328376,0.7891685,0.95791495,-0.4918959,-0.09133887
0.06484224,0.76650536,0.9571058,-0.4937153,-0.10601783
0.13371593,0.74967635,0.93981093,-0.4845236,-0.13056052
0.20151441,0.7341069,0.9221155,-0.4673646,-0.13963425
0.22709434,0.70040977,0.9439119,-0.47255504,-0.013039708
0.065625295,0.5206448,0.9523258,-0.56067777,0.45938587
0.1378052,0.61034286,1.1453063,-0.4404679,0.15436327
0.23441635,0.59883034,1.0690169,-0.4801043,0.028274894
0.16802926,0.5056964,0.9696003,-0.61408925,0.27872097
-0.015096229,0.5969664,1.0750947,-0.6353463,0.36233795
-0.029877264,0.6818453,1.0668874,-0.5835302,0.10990834
-0.12747018,0.74784553,1.0820456,-0.592689,0.03432834
-0.21736829,0.77454793,1.074474,-0.6130667,0.06208098
-0.23800455,0.7947184,1.0438079,-0.61093307,0.033026338
-0.19311155,0.8165308,0.99967146,-0.58238053,-0.05297768
-0.13264987,0.8159503,0.97483563,-0.5581386,-0.13946259
-0.0058779474,0.78428686,0.9621521,-0.5331472,-0.23054898
0.15756081,0.69734347,0.9407359,-0.547279,-0.28020293
0.40663105,0.55741274,0.8390233,-0.57487655,-0.28460252
0.58658975,0.40274966,0.6366755,-0.61904025,-0.20126605
-0.15268645,0.8537251,1.4664127,-0.34913903,-0.5085911
0.05805451,0.65763986,1.6485832,-0.5840746,-0.43770176
0.003148716,0.5960475,1.2424446,-0.6494067,-0.3970248
-0.14511362,0.79767287,1.0189277,-0.5049958,-0.2697034
-0.038848586,0.81729496,0.9524584,-0.4453466,-0.30460078
-0.054544836,0.80363977,0.9255215,-0.45738542,-0.22345483
-0.07159723,0.80960953,0.90605444,-0.46279407,-0.14619374
-0.023548216,0.8088199,0.8942665,-0.46042526,-0.12262678
0.0550565,0.7895094,0.8971368,-0.45573807,-0.13676679
0.124764994,0.779287,0.88016295,-0.44080025,-0.17369044
0.20210774,0.77821577,0.8499781,-0.41201425,-0.21297824
0.25439802,0.7430557,0.87070024,-0.41499728,-0.1528914
0.29080284,0.69797766,0.9218356,-0.42789888,0.031348825
0.3402507,0.66425,0.9395889,-0.4263811,0.16118717
-0.34759176,0.7154416,1.1791192,-0.5145627,0.16536248
0.058445696,0.6370684,1.0336158,-0.5003233,-0.023597717
0.09573063,0.54478204,0.86147135,-0.5635566,0.01451695
0.2607537,0.43969405,0.7376723,-0.57885593,0.086217165
0.4135782,0.38034356,0.64460695,-0.56113195,0.14598191
0.48758048,0.3578118,0.5659216,-0.5322641,0.22895086
0.42442364,0.36870396,0.5396662,-0.51458204,0.4224038
-0.15089707,0.72872746,1.1921505,-0.45944774,0.0016746521
-0.067016006,0.7018043,1.1370658,-0.52282834,-0.03746414
-0.08341135,0.6472899,1.0370189,-0.6148773,0.024387956
-0.064191826,0.5926219,0.9445758,-0.6599928,0.105909824
-0.04372265,0.571993,0.90777564,-0.67415094,0.1368612
0.0075163543,0.5087601,0.853254,-0.70121634,0.2307483
-0.034590915,0.37755907,0.8674914,-0.80884236,0.59235895
-0.20854853,0.6062952,1.0703809,-0.680317,0.39186108
-0.16111787,0.7161876,1.0254295,-0.61356336,0.11484051
-0.15328181,0.7646743,1.0043763,-0.5864434,-0.07004702
-0.24301864,0.7743627,1.0209544,-0.62091744,-0.02298963
-0.33718494,0.79585755,0.9948404,-0.64044863,0.01870358
-0.37128133,0.81175244,0.9655533,-0.64260495,0.030007362
-0.33040732,0.8223382,0.9411231,-0.62282836,0.0048605204
-0.25866196,0.81255305,0.9130821,-0.6006044,-0.08885324
-0.10412395,0.784449,0.8753581,-0.56059736,-0.24391133
0.018112179,0.7126018,0.8596604,-0.5732476,-0.27365154
0.27234712,0.5888611,0.7920474,-0.58127433,-0.31887978
0.5102646,0.43880618,0.6035086,-0.60945827,-0.30261326
0.28421396,0.4238137,0.562497,-0.6295196,0.21097124
-0.30226237,0.85243595,1.4118942,-0.36021715,-0.4873771
-0.050840527,0.6663033,1.5778911,-0.5905438,-0.46891356
-0.058594257,0.6064304,1.1374351,-0.641101,-0.4176737
-0.18681681,0.80807555,0.9739205,-0.49522948,-0.2530014
0.0042010136,0.7739397,0.92005527,-0.45628536,-0.3225903
0.021377493,0.7494451,0.89855874,-0.4675473,-0.26697272
0.023064557,0.75790155,0.8587011,-0.459795,-0.21430755
-0.018821228,0.8199223,0.824419,-0.43208325,-0.19004798
0.06417398,0.81002796,0.82080615,-0.41793334,-0.2062434
0.12902619,0.7989856,0.81696045,-0.4022026,-0.23522162
0.192546,0.78084433,0.8199278,-0.39228415,-0.2150625
0.2600658,0.7522327,0.8284292,-0.38741767,-0.2022959
0.3515485,0.71911776,0.82770824,-0.3780563,-0.17720401
0.43562242,0.67869294,0.81261504,-0.3685143,-0.117194176
0.4160803,0.631919,0.83750343,-0.3929006,0.1674856
-0.6541187,0.8602072,1.1763059,-0.48822367,-0.09757638
-0.42120612,0.810922,1.170938,-0.53898364,-0.17988014
-0.279796,0.6736604,1.0282861,-0.6305882,-0.05863881
-0.07000722,0.5500432,0.8675637,-0.6706837,-0.01343751
0.18012038,0.4390577,0.7144099,-0.6754467,0.032821774
0.44658405,0.33617842,0.5563592,-0.6510573,0.060014606
0.6706328,0.28236544,0.4079033,-0.60394776,0.04313898
0.7995816,0.2638787,0.31707203,-0.5330497,0.16309726
-0.4450612,0.79151165,1.1515304,-0.5258533,0.0011321306
-0.34677505,0.77959955,1.1173329,-0.5788525,-0.08981931
-0.3359695,0.73499596,1.0392191,-0.6461848,-0.08490193
-0.28986138,0.69609034,0.9647221,-0.6780711,-0.036241412
-0.2489009,0.6649009,0.9023811,-0.6922375,-0.026771069
-0.20508848,0.6256496,0.83149385,-0.7067261,-0.0034257174
-0.21183759,0.5572351,0.80713755,-0.76785874,0.18287301
-0.23194097,0.47701943,0.8108955,-0.8298391,0.42420077
-0.34295598,0.72990906,0.99773777,-0.65822154,0.14337969
-0.33046502,0.7778772,0.977999,-0.633711,0.015806079
-0.32456827,0.78927004,0.965831,-0.62719077,-0.049745917
-0.3259128,0.8010627,0.94421595,-0.62366354,-0.11313081
-0.39899114,0.8025147,0.94466126,-0.65362954,-0.04538119
-0.45231918,0.8110324,0.91943437,-0.6657654,-0.01531446
-0.46431428,0.8185772,0.89522934,-0.6646522,-0.005366683
-0.4327228,0.8180481,0.8788922,-0.654781,0.0005337
-0.34389544,0.8019234,0.8469271,-0.6333498,-0.06887734
